Date,CPI,YoY_Inflation,MoM_Inflation,Exchange_Rate_KHR_USD,Total_Imports_USD
2005-01-01,87.98,5.12,0.14,4040.532258064516,
2005-02-01,88.39,5.35,0.47,4037.3571428571427,
2005-03-01,88.63,5.09,0.27,4029.7741935483873,
2005-04-01,90.26,6.15,1.83,4037.383333333333,
2005-05-01,91.01,6.67,0.84,4080.4032258064517,
2005-06-01,92.85,7.61,2.02,4116.883333333333,
2005-07-01,93.15,4.58,0.33,4176.435483870968,
2005-08-01,94.33,4.94,1.26,4170.177419354839,
2005-09-01,95.74,5.78,1.49,4201.133333333333,
2005-10-01,95.72,8.01,-0.01,4208.741935483871,
2005-11-01,95.53,8.4,-0.21,4179.133333333333,
2005-12-01,95.25,8.41,-0.29,4127.967741935484,
2006-01-01,95.32,8.35,0.08,4097.709677419355,
2006-02-01,95.61,8.16,0.3,4089.7678571428573,
2006-03-01,95.57,7.83,-0.03,4096.5,
2006-04-01,95.97,6.33,0.42,4092.4333333333334,
2006-05-01,96.86,6.42,0.92,4113.048387096775,
2006-06-01,97.29,4.78,0.44,4119.466666666666,
2006-07-01,98.97,6.24,1.73,4127.096774193548,
2006-08-01,100.36,6.39,1.4,4147.5,
2006-09-01,101.01,5.51,0.65,4175.316666666667,
2006-10-01,100.71,5.21,-0.3,4183.951612903225,
2006-11-01,100.04,4.72,-0.67,4131.15,
2006-12-01,99.25,4.2,-0.79,4064.483870967742,
2007-01-01,99.41,4.28,0.16,4068.2419354838707,
2007-02-01,99.79,4.38,0.39,4064.714285714286,
2007-03-01,100.72,5.39,0.93,4059.5,
2007-04-01,100.93,5.17,0.21,4061.9,
2007-05-01,101.21,4.49,0.27,4080.8064516129034,
2007-06-01,104.64,7.55,3.39,4093.8333333333335,
2007-07-01,106.58,7.69,1.85,4094.564516129032,
2007-08-01,107.36,6.97,0.73,4093.3548387096776,
2007-09-01,109.6,8.51,2.09,4086.8333333333335,
2007-10-01,111.98,11.19,2.17,4069.45,
2007-11-01,111.91,11.86,-0.07,4022.810344827586,
2007-12-01,113.1,13.95,1.06,4004.7903225806454,
2008-01-01,116.09,16.78,2.65,3999.35,
