Date,CPI,YoY_Inflation,MoM_Inflation,Exchange_Purchase,Exchange_Sale,Exchange_Midpoint,total_export_usd,total_import_usd,trade_balance,trade_ratio,Gasoline_92_Unit_Price,Gasoil_50ppm_Unit_Price
2023-07-01,203.02,1.88,0.44,4124.258064516129,4134.419354838709,4129.419354838709,2060606.41231,1946096.86366,114509.54865,1.0588406213422714,4150.0,3983.3333333333335
2023-08-01,204.76,3.24,0.86,4136.580645161291,4146.0,4141.580645161291,2166977.96692,2104749.56769,62228.3992300001,1.0295657023454323,4583.333333333333,4616.666666666667
2023-11-01,203.62,2.69,-0.65,4115.6,4124.933333333333,4120.6,1902888.09671,1931241.9557,-28353.858990000095,0.9853183290129368,4325.0,4400.0
2023-12-01,202.84,2.72,-0.38,4100.935483870968,4110.741935483871,4106.032258064516,2150312.26817,2176856.25203,-26543.983860000037,0.987806276213578,4200.0,4183.333333333333
