year,month_num,month_abb,chapter,commodity,value_thousand_usd
2018,8,Aug,61,"Articles of apparel and clothing accessories, knitted or crocheted.",719719.6456
2018,8,Aug,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",147173.8589
2018,8,Aug,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,11826.88097
2018,8,Aug,64,"Footwear, gaiters and the like; parts of such articles.",97607.39871
2018,8,Aug,66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops, and parts thereof.",2714.32213
2018,8,Aug,73,Articles of iron or steel.,4929.88782
2018,8,Aug,76,Aluminium and articles thereof,2501.85296
2018,8,Aug,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",7821.51576
2018,8,Aug,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",59659.77117
2018,8,Aug,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",35003.17944
2018,8,Aug,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",22959.43501
2018,8,Aug,95,"Toys, games and sports requisites; parts and accessories thereof.",3445.61869
2018,8,Aug,99,Others,31626.58639
2018,7,Jul,10,Cereals.,18178.76893
2018,7,Jul,17,Sugars and sugar confectionery.,10063.92536
2018,7,Jul,24,Tobacco and manufactured tobacco substitutes,3911.09371
2018,7,Jul,39,Plastics and articles thereof.,14217.46443
2018,7,Jul,40,Rubber and articles thereof.,16766.16219
2018,7,Jul,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",45597.75795
2018,7,Jul,43,Furskins and artificial fur; manufactures thereof.,50729.27664
2018,7,Jul,44,Wood and articles of wood; wood charcoal.,14412.43836
2018,7,Jul,61,"Articles of apparel and clothing accessories, knitted or crocheted.",613942.2285
2018,7,Jul,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",144640.0239
2018,7,Jul,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,9964.63648
2018,7,Jul,64,"Footwear, gaiters and the like; parts of such articles.",91242.40009
2018,7,Jul,66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops, and parts thereof.",2540.28565
2018,7,Jul,73,Articles of iron or steel.,4018.94044
2018,7,Jul,76,Aluminium and articles thereof,2182.37002
2018,7,Jul,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",6361.4931
2018,7,Jul,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",47702.87348
2018,7,Jul,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",26386.38737
2018,7,Jul,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",23133.74429
2018,7,Jul,95,"Toys, games and sports requisites; parts and accessories thereof.",1601.41117
2018,7,Jul,99,Others,25767.76079
2018,6,Jun,10,Cereals.,26241.31608
2018,6,Jun,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,2786.28371
2018,6,Jun,17,Sugars and sugar confectionery.,10746.64966
2018,6,Jun,24,Tobacco and manufactured tobacco substitutes,4021.54567
2018,6,Jun,39,Plastics and articles thereof.,18917.30639
2018,6,Jun,40,Rubber and articles thereof.,14381.04985
2018,6,Jun,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",52983.8727
2018,6,Jun,43,Furskins and artificial fur; manufactures thereof.,50746.26789
2018,6,Jun,44,Wood and articles of wood; wood charcoal.,15116.1014
2018,6,Jun,61,"Articles of apparel and clothing accessories, knitted or crocheted.",706251.6977
2018,6,Jun,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",108779.4695
2018,6,Jun,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,10773.40322
2018,6,Jun,64,"Footwear, gaiters and the like; parts of such articles.",109039.1505
2018,6,Jun,66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops, and parts thereof.",3060.329
2018,6,Jun,73,Articles of iron or steel.,4340.21672
2018,6,Jun,76,Aluminium and articles thereof,2612.90608
2018,6,Jun,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",7451.83748
2018,6,Jun,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",40362.80385
2018,6,Jun,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",29558.14813
2018,6,Jun,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",14178.80529
2018,6,Jun,99,Others,27920.55358
2018,5,May,8,Edible fruits and nuts; peel of citrus fruit or melons.,3314.13472
2018,5,May,10,Cereals.,22535.82949
2018,5,May,17,Sugars and sugar confectionery.,6454.41895
