Date,CPI_all_item,Midpoint,Purchase,Sale,Exchange_Rate
2005-01-22,87.98,4040.532258064516,4037.548387096774,4043.516129032258,4033.8709677419356
2005-02-22,88.39,4037.3571428571427,4034.1785714285716,4040.535714285714,4033.464285714286
2005-03-22,88.63,4029.7741935483873,4026.935483870968,4032.6129032258063,4026.967741935484
2005-04-22,90.26,4037.383333333333,4033.733333333333,4041.0333333333333,4029.266666666667
2005-05-22,91.01,4080.4032258064517,4076.5806451612902,4084.2258064516127,4057.1290322580644
2005-06-22,92.85,4116.883333333333,4113.166666666667,4120.6,4089.3333333333335
2005-07-22,93.15,4176.435483870968,4171.870967741936,4181.0,4137.290322580645
2005-08-22,94.33,4170.177419354839,4163.548387096775,4176.806451612903,4122.774193548387
2005-09-22,95.74,4201.133333333333,4196.1,4206.166666666667,4154.833333333333
2005-10-22,95.72,4208.741935483871,4204.0,4213.4838709677415,4182.096774193548
2005-11-22,95.53,4179.133333333333,4174.2,4184.066666666667,4166.166666666667
2005-12-22,95.25,4127.967741935484,4123.967741935484,4131.967741935484,4126.8387096774195
2006-01-22,95.32,4097.709677419355,4092.4193548387098,4103.0,4087.7741935483873
2006-02-22,95.61,4089.7678571428573,4084.0714285714284,4095.464285714286,4078.8214285714284
2006-03-22,95.57,4096.5,4091.7096774193546,4101.290322580645,4089.1935483870966
2006-04-22,95.97,4092.4333333333334,4086.9666666666667,4097.9,4083.9666666666667
2006-05-22,96.86,4113.048387096775,4108.258064516129,4117.8387096774195,4103.967741935484
2006-06-22,97.29,4119.466666666666,4115.3,4123.633333333333,4110.2
2006-07-22,98.97,4127.096774193548,4122.5161290322585,4131.677419354839,4113.967741935484
2006-08-22,100.36,4147.5,4142.8387096774195,4152.1612903225805,4123.967741935484
2006-09-22,101.01,4175.316666666667,4170.233333333334,4180.4,4149.166666666667
2006-10-22,100.71,4183.951612903225,4178.903225806452,4189.0,4163.967741935484
2006-11-22,100.04,4131.15,4126.2,4136.1,4125.516666666666
2006-12-22,99.25,4064.483870967742,4061.8064516129034,4067.1612903225805,4055.8387096774195
2007-01-22,99.41,4068.2419354838707,4063.2903225806454,4073.1935483870966,4060.1935483870966
2007-02-22,99.79,4064.714285714286,4059.9285714285716,4069.5,4061.3928571428573
2007-03-22,100.72,4059.5,4055.3225806451615,4063.6774193548385,4055.5806451612902
2007-04-22,100.93,4061.9,4057.5666666666666,4066.233333333333,4057.366666666667
2007-05-22,101.21,4080.8064516129034,4076.064516129032,4085.548387096774,4069.6129032258063
2007-06-22,104.64,4093.8333333333335,4088.8,4098.866666666667,4082.4666666666667
2007-07-22,106.58,4094.564516129032,4089.7419354838707,4099.387096774193,4082.451612903226
2007-08-22,107.36,4093.3548387096776,4089.2258064516127,4097.4838709677415,4083.1290322580644
2007-09-22,109.6,4086.8333333333335,4082.4,4091.266666666667,4081.7166666666667
2007-10-22,111.98,4069.45,4063.9333333333334,4074.9666666666667,4066.266666666667
2007-11-22,111.91,4022.810344827586,4019.448275862069,4026.1724137931033,4021.637931034483
2007-12-22,113.1,4004.7903225806454,4001.032258064516,4008.548387096774,4002.516129032258
2008-01-22,116.09,3999.35,3995.3333333333335,4003.366666666667,3996.5
2008-02-22,117.93,3996.464285714286,3992.3214285714284,4000.6071428571427,3994.214285714286
2008-03-22,127.68,3996.4,3992.1,4000.7,3994.6
2008-05-22,137.21,4028.766666666667,4025.133333333333,4032.4,4006.133333333333
2008-06-22,138.49,4119.724137931034,4113.724137931034,4125.724137931034,4081.5172413793102
2008-07-22,139.15,4145.95,4137.633333333333,4154.266666666666,4128.0
2008-08-22,138.71,4130.616666666667,4123.966666666666,4137.266666666666,4107.833333333333
2008-09-22,138.58,4129.35,4124.0,4134.7,4117.966666666666
2008-10-22,137.1,4134.322580645161,4127.967741935484,4140.677419354839,4117.935483870968
2008-11-22,132.46,4095.9,4088.9,4102.9,4095.366666666667
2008-12-22,127.26,4068.6612903225805,4062.548387096774,4074.7741935483873,4056.8387096774195
2009-01-22,125.38,4123.435483870968,4116.193548387097,4130.677419354839,4102.322580645161
2009-02-22,125.22,4129.214285714285,4123.214285714285,4135.214285714285,4122.714285714285
2009-03-22,126.83,4114.725806451613,4109.548387096775,4119.903225806452,4111.645161290323
2009-04-22,128.07,4110.333333333333,4103.466666666666,4117.2,4102.433333333333
2009-05-22,129.42,4142.806451612903,4136.129032258064,4149.4838709677415,4130.8387096774195
2009-06-22,131.75,4163.966666666666,4157.633333333333,4170.3,4150.233333333334
2009-07-22,133.67,4213.774193548387,4207.4838709677415,4220.064516129032,4185.129032258064
2009-08-22,134.66,4192.967741935484,4178.8387096774195,4196.806451612903,4153.419354838709
2009-09-22,135.37,4181.0,4181.366666666667,4191.366666666667,4160.0
2009-10-22,134.95,4195.790322580645,4190.8387096774195,4200.741935483871,4171.354838709677
2009-11-22,134.15,4181.15,4176.7,4185.6,4169.733333333334
2009-12-22,134.03,4168.633333333333,4165.3,4171.966666666666,4163.433333333333
2010-01-22,134.06,4187.451612903225,4183.8387096774195,4191.064516129032,4169.193548387097
2010-02-22,134.37,4192.267857142857,4188.571428571428,4195.964285714285,4185.821428571428
2010-03-22,135.26,4192.193548387097,4188.8387096774195,4195.548387096775,4185.5161290322585
2010-04-22,134.87,4198.116666666667,4194.4,4201.833333333333,4189.633333333333
2010-05-22,135.19,4235.951612903225,4232.935483870968,4238.967741935484,4208.5161290322585
2010-06-22,135.15,4255.916666666667,4250.766666666666,4261.066666666667,4224.6
2010-07-22,135.84,4261.612903225807,4255.709677419355,4267.548387096775,4236.645161290323
2010-08-22,137.02,4258.774193548387,4253.387096774193,4264.1612903225805,4239.322580645161
2010-09-22,137.99,4251.3,4246.466666666666,4256.133333333333,4233.133333333333
2010-10-22,139.93,4240.032258064516,4235.741935483871,4244.322580645161,4227.774193548387
2010-11-22,138.46,4094.35,4088.266666666667,4100.433333333333,4100.066666666667
2010-12-22,138.25,4059.516129032258,4056.2258064516127,4062.8064516129034,4064.2258064516127
2011-01-22,138.5,4051.3225806451615,4048.8064516129034,4053.8387096774195,4052.516129032258
2011-02-22,139.46,4041.339285714286,4037.3214285714284,4045.3571428571427,4043.035714285714
2011-03-22,140.41,4031.5967741935483,4028.935483870968,4034.2580645161293,4034.2580645161293
2011-04-22,141.93,4016.0333333333333,4011.266666666667,4020.8,3998.4
2011-05-22,143.97,4081.1290322580644,4076.6451612903224,4085.6129032258063,4041.7419354838707
2011-06-22,144.69,4108.482758620689,4104.517241379311,4112.448275862069,4095.2758620689656
2011-07-22,145.49,4108.693548387097,4105.354838709677,4112.032258064516,4108.919354838709
2011-08-22,145.75,4096.112903225807,4092.2258064516127,4100.0,4095.483870967742
